id	qus	ans
129	<Media omitted>	<Media omitted>
130	😂😂😂😂🔪🔪🔪	<Media omitted>
131	زي انت يووم قاعد كدا تقوول والله انا نسيت حااجه لكن م عارف انا نسيت شنوو	👌
132	م خلااااص نفسي كلااامي بس😂😂😂😂🤚	<Media omitted>
133	وينوو	دسيس 👌
134	ااااي	نمشي نركع ونجي نشيل ال ID
135	<Media omitted>	👌
136	دي منو دي	مع انو  ما المفضوض اجاوب بس نفسي بقول لي تدخل في اي حاجه وتدي رأيك
137	الزمن فاات😂😂😂🤚	هي لو ما بقت حاجه كيف تتذكر انك نسيتها ؟؟
138	ي حجر😂😂😂👏👏	🤝😂
139	اها ورد ليها ولا لسع😂😂😂😂😂👏👏	🌚
140	شديد يااا😂😂😂🤚	<Media omitted>
141	<Media omitted>	<Media omitted>
142	كلكم حجاار ي كصماات😂😂😂😂😂🔪🔪	<Media omitted>
143	<Media omitted>	امسك الديش ده
144	تعرصه بس م اكتر😂😂😂😂🤚	المكالمه ياه
145	اااي	<Media omitted>
146	اصلا هي في كل الاجزاء قاااعده	شبكتك طشت
147	ااااي	You deleted this message
148	😂😂🤚	You deleted this message
149	معرص😂😂😂😂🔪🔪🔪🔪🔪	<Media omitted>
150	علي اساااس هي حبيبتي😂😂😂🔪🔪🔪	<Media omitted>
151	<Media omitted>	ده صحبي قال داير ليهو رد لي مزتو انا ما عندي رد جيتك🔪😂
152	لو تمثلني كدا مثلني بي صموويل لانو بحب كاارلا عشاان مصلحه وهي بتحب حب حقيقي😂😂🤚	لكن انت متاخر الله لا جاب باقيك
153	<Media omitted>	جاسفت ليهو سريع سريع من التلجرام
154	بالزووق بس🤣🤣🤣🤣🤣👏👏	هو كان حجر 😂😂😂
155	انا م معاهم انا برا الدائرة🤣🤣🤣🤣🤣🤣🤚	<Media omitted>
156	م خسران شي + مشيت اجيب ليك الاسكرين كاامل داير تتجدع فيني🤦🏾‍♂😂😂😂🔪🔪🔪🔪	<Media omitted>
157	اااي في الخااص	الحمد لله ما حجر و لا زول رقاد 🌚💔
158	<Media omitted>	<Media omitted>
159	لالا دااك خليهوو😂😂🤚	<Media omitted>
160	ووووااااااع عااامل زي حبيب كاارلا التااني دااك 😂😂😂🤚	جد😂😂🔪🔪🔪
161	اااي اااي عرفت لي نفسك تب😂😂😂🤚	انت شنو شبكتني عملتها خاينه خاينه وبتاع😂😂
162	😂😂😂😂😂😂🤚	تعرف كارلا في مسلسل الايت الجزء الاول
163	ده الشفت القاااعد في اي محل	مش عندها نفرين 🐸💔
164	اااي والله نفسي تصرفااتك بس😂😂😂🤚	كلما قاعد نشاغل في صوفه وانت تجي طوالي بتذكر كارلا
165	اااي انت صح😂😂😂👏👏	😂😂🌚
166	<Media omitted>	وانا الجوكي البعدل😂😂🤣🤣🤝
167	انت م عارف يعني اردمك صوورها ولا شنو😂😂😂🤚	دي منو جيب الاسكرين كامل🤣🤣🤣
168	لن تناال😂😂😂	لا لا قصدي الشفاته الاتنين ديلاك😂😂💔
169	<Media omitted>	انت خسران شنو ما بكمل ليها🤣🤣
170	خليها تدييك بي نفسها😂😂😂🤚	ولا ده في الخاص😂💔
171	ابتسم بس 😂😂😂🤚	اي جيبو يا فرده
172	اصلا م حتصل حااجه استكين😂😂😂🤚	سري في بير 👌
173	انا بعمل كدا ي اصلي😂😂🤚	🤝
174	<Media omitted>	شخيت الباقي مالك الله لا جاب باقيك يا معرص😂😂🤣🤣🤣👌
175	قلتا اقيس ضغطك بس😂😂😂🤚	خلينا نستمتع بالدردشه الدسيسه دي🤣🤣
176	<Media omitted>	زول كارلا لمن قالت ليهو توريني حاجه يحصل بيناتك وانا بساعدكم🤣🤣💔
177	وووواااهههههييي انت م حضرتوو زاات😂😂😂😂🤚	<Media omitted>
178	اااي مسلسل reasons why	خاشي ليها زي صحبك الانتحر🤣💔
179	ااع وين ياا😂😂😂🤚	انت مجنون 🤣🤣💔
180	م شلت الهادر ديسك من صحبي	لاعب دور الماسوره الانتحر🤣🤣👌
181	الكائن ده الصباح بمشي السوق شغاال القاهوو وين انا	<Media omitted>
182	اصلا لو شلت منو الهارد انت اللاب م منك	لكن نفوشه مززه صدق 🌚
183	وم بشتغل في التلفون مباشر	جيب اتنين بس 👌😂
184	<Media omitted>	انا نفسي اقفل المحادثه دي بي باس لانو بقت تحتوي على مواد خطيره 🤣
185	<Media omitted>	هوي يا ديش نحنا متفقين من زمان انو المحادثه بيناتنا ما تتسرب كان صوره او اسكرين او حتي تنقل الكلام شفوي🤨👌
186	وين🐸	ايو انا مستكين
187	نصووفه قاالت نضيفوو😂😂😂😂😂	لكن من قلت ابتسم دي جاني وجع راس
188	هووي هوو زاتو غادر😂😂😂🤚	بتجيب لي سكري😂💔
189	اااي اااي😂😂😂🤚	😴🚶🏾‍♂️
190	<Media omitted>	شنو هو
191	ريزون هواي😂😂😂🤚	مسلسل
192	😂😂😂😂🤚	الليله بس الحنك كلو 😂👌
193	اها وانشاءالله امورك اتظبطت😂😂😂🤚	<Media omitted>
194	قداااام بس😂😂😂🤚	شيلو🔪
195	اها الجديد تااني شنو	نجرب يا كيس
196	جميع النواحي	هي يا ماسوره
197	ايوا	دخلت محمد يوسف مالك😒
198	احشششك😂😂😂🔪🔪🔪	في القرب حقتنا التلاته
199	اااي	😒
200	<Media omitted>	جدك وجدها زاتو القوب كدا خرب😂🔪
201	ظاابط للدين + الليله في بت حراام كدا قربت تفطرني😂😂😂🤚	كدا دسيس بخلينا نخلط بحريه😂😂😂🤣
202	تكسسسييييم يااااا🙆🏾‍♂🙆🏾‍♂🙆🏾‍♂🙆🏾‍♂🙆🏾‍♂🙆🏾‍♂🙆🏾‍♂🙆🏾‍♂😳😳😳😳😳😳😳	<Media omitted>
203	<Media omitted>	😂😂
204	بالزووق بس😂😂😂🤚	سودانيز كهير جوا الجك كهي😂🤣
205	من الصباااح شغاال مكاالماات بس😂😂😂	مشيت قاعد نحنك لي برازيلي كدا يشرح لي الفلتره حقت mtn ويديني حساب vps😂😂
206	<Media omitted>	<Media omitted>
207	اااي	جاري .....😂
208	والله هسع الا حظرتها عشاان م تتصلي لي😂😂😂🤚	🙂👌
209	بالزووق بس😂😂🤚	من اي ناحيه
210	برفع منها الحظر بعدين لانو هسع م بتخليني ادردش معااكم في الواتس😂😂	مافي😂😂😂💔
211	جد والله م شاايف اخر مكالمة منها قبل كم وعشرين دقيقه بس😂😂	<Media omitted>
212	<Media omitted>	ورقتين
213	ااااي🤣🤣🤣🤣🤣🤚	من الضرا؟
214	للدين	<Media omitted>
215	<Media omitted>	اخبار الخلط
216	برضوو برعم اااي😂😂😂😂	<Media omitted>
217	<Media omitted>	مالها كمان
218	ففففككككك🖕🏿🖕🏿😂😂💞	فطرنا خلاص جيب الزيت
219	ومعااهوو قلب	معاها يعني
220	وتموو اربعه مكالمة😂😂😂🤚	درعات وحركات ااا
221	معرص😂😂😂🔪🔪🔪🔪🔪🔪	لقيتها وين كمان🤣
222	وتمو سبعه🤣🤣🤣🤣🤚	انت صكم ساي 😹😹💔
223	😂😂🖕🏿	🐸🌚
224	احلا شي😂😂🤚	الساعه  ده انت في الضرا 😂
225	ووووااااع🤣🤣🤣🤣🤣🤣🤣🤣👏👏	عزتك لكن
226	<Media omitted>	<Media omitted>
227	<Media omitted>	ورقتين🚶🏾‍♂️💔
228	دي صوورتي انا😂😂😂🤚	باصي لي اخوك🐸🔪
308	وووووووااااااااع	<Media omitted>
229	<Media omitted>	اولاد حي السلام قادرين لي دي بس🤣🤣💔
230	<Media omitted>	👌
231	<Media omitted>	يست نيتك 🌚🔪
232	بالزووق بس🤣🤣🤣	قادرين الا للكلام الشين 😂😂🔪
233	<Media omitted>	🤝🙂
234	امشي ي حجر	احشيا خلي تبقي ليك بت الشيطان 😂😂
235	<Media omitted>	<Media omitted>
236	ميييته🤣🤣🤣🤚	صحبك ده ابتسامتو لاحق السماء
237	المهم داايرة تسمع صووتي بس🤣🤣🤣🤚	<Media omitted>
238	وانا م رديت ولا لي رساالة	دي فطومه في داعي تشخبط😂
239	بي كلووو ي مااان😂😂😂🤚	<Media omitted>
240	ماااشي انا😂😂🤚	ما بتقر فينا 😂
241	ارح	جيب الزيت بس
242	ووووااااهههههييي😂😂😂🤚	<Media omitted>
243	بتقدر تكسر تلج لكن ي حجر😂😂😂🤚	يستاهل ليك
244	ارح اااي	طلعت *****😂😂🤣
245	م هووو لي اسع م قدرت تدرد ليها🤣🤣🤣🤣🤚	قالو ليك حتي لو في وهم 😂
246	ااااع وين يااا	<Media omitted>
247	ووووااااههههييي🤣🤣🤣🤣🐸🤣🤚	ما تمشي تكساس قريب ده بس ةهم شي 😂🤣💔
248	انشووف بس	ارح القروب نشتغل شويه
249	<Media omitted>	داير نشوف بطاريه فطم 🐸💔🤣
250	ااااي😂😂🤚	ولا كيف
251	<Media omitted>	<Media omitted>
252	فردتي انا زااتي	اه وين اديتها من التقيل ب
253	<Media omitted>	بكرا تلقا صورتي في الحاله
254	راااسطااات😂😂🤚	لسع ما دخلت في العيار الثقيل 🤣🔪
255	لالا انت اديتني رقموو قلت لي ضيفوو😂😂😂🤚	<Media omitted>
256	انت الوهمي😂😂🤚	<Media omitted>
257	<Media omitted>	تعرف فارس
258	يااه يااه😂😂😂🤚	الزول ده فرتي شديد قاعد ندردش معاهو فجاء لقيتو خاتي بروفايلك قلت تلفوني جنه ولا الواتساب ضربو الهاكرز
259	😂😂😂😂🤚	<Media omitted>
260	<Media omitted>	<Media omitted>
261	ظااابطة والله وتعرصتها قووويه😂😂😂🤚	خلعتوني
262	<Media omitted>	🤣🤣
263	ي زووول خليت اي حااجه بقوولوو ليها جكس😹😹😹🤚	عرفتو من القروب صح🤣🤣
264	😹😹😹😹😹😹🤚	فاارات 🤣🤝
265	ده راس البتااع😹😹😹🤚	<Media omitted>
266	م بتقدر ليهوووو😹😹😹🤚	Is me 🤣💔💔
267	تمام😹😹	واكك
268	<Media omitted>	<Media omitted>
269	نورو🌚	😂😂🤝
270	😹😹😹😹😹🤚	الدبابه اللابسه اسود بنفعك معاك 👌🤣
271	بالزوووق بس	<Media omitted>
272	نزل 🌚🤚	الله على الراس 😂😂💔👌
273	ايوا😹😹😹🔪🔪	راس زي الراس 🤣🤣💔
274	نزلوو برااك	<Media omitted>
275	حي السلاام ولا السوودان كلووو😹😹😹🤚	ادي لي فطوم🤣
276	<Media omitted>	<Media omitted>
277	انت كصم😹😹😹🔪🔪🔪	جرب 😂
278	<Media omitted>	🐸💔
279	فتش اااي😹😹🔪🔪🔪	هيي
280	مش حق الناس اللونهم ازرق ده	هو يا زفتت
281	امش ي😹😹😹😹🤚	اتصلت لقيتك قاعد تخلط🤣🤣
282	م ظاابط😏🤚	<Media omitted>
283	😹😹😹😹😹🤚	داير صراع العروش الجزء التاني والتالت 🤤
284	اااي	🌚
285	ااااي😹😹🤚	داك جا بالغلط ده الصح😂
286	لالا	شنو ؟؟
287	اها انت جديدك شنو	Game of thorones🌚
288	طيب جيب صورة البت😹😹😹🔪🔪	قال ليك silver بنات حي السلام مافي النوعيه دي🤣🤣
289	انا لو جييت انت تطلعها لي برا الشارع	داير نحولهم منك يا مسطم🤣
290	معرص😹😹😹🔪🔪🔪	جارتي شعرها زي دي 😂😂
291	ظاابط انا بكرا بجييك خلااص	<Media omitted>
292	وووووااااع😹😹😹	Avatar
293	امش ي😏	🔥🔥🔥
294	بالزوووق بس🤣🤣🤣🤣🤚	جامد 👍
295	ساااكنه وين😃😃	دقيقه نفتش صورتها لو عندي 😂👍
296	🤤🤤🤤🤚	اعععع انت ما كشفتو عشان كدا 😂🏳️
297	نمشي نزوورهم برضوو😹😹😹🤚	اتصورت معها سلفي في عيد الضحيه القبل فات 😂👍
298	منو😹	اي🌚🔥🔥🔥
299	<Media omitted>	😂😂😂
300	لالا جعااان😹😹😹🤚	<Media omitted>
301	لالا	انت بنفع معاك الا الافلام *ال+*
302	انت كسم🌚🔪🔪	عشان كدا قلت لي الفلم ما ظايط معاك 🤣
303	كيف كلامك ده	انت لو داير تيك امشي ليهو عديل🤣🤣
304	اااي يعني تتوقع اكووون شبعاان	<Media omitted>
305	هوووي افصلا عليك دينك	انا اخر زول يكون عندي جديد 😂
306	🙂💔	تعال شوف في ارض الواقع
307	<Media omitted>	😂
309	تقووول ده انت بقيت شفت كدا	نمشي معاك جوا زاتو لو داي امهم فردتي شديد
310	هوووي م تكذب ي كسم😏🔪	<Media omitted>
311	وانت بخير	خلي الكورونا تمشي الزمن ده ما دايرن نشغلها لي الناس ساي
312	معرص😹😹😹😹😹🔪🔪🔪	<Media omitted>
313	لانو لقيت الصورة في محل تااني	حلتنا قفلنها 🌚😂💔
314	اااااي🌚	ده البنات فكرو فيهو الاولاد يسو شنو بعدا 😂💔
315	م قريتووو😹😹😹😹😹🤚	<Media omitted>
316	اااااي	في بت كدا انا بعرفها لو لمت فيهو تغتصبو بالنظر بس بعداك بكمل الباقي 😂😂
317	حزييينه ي😹😹😹🤚🤚	<Media omitted>
318	<Media omitted>	خرطوم بالليل 😂💔
319	هوووي غااانج	دي الشفاتيه 😂
320	🥺	<Media omitted>
321	وشنو  ميقا دي	شارب بنقو ولا شنو 😹
322	في الحالة بتعااعتك	هسي شغالين مدرسه
323	بتاااعتك***	جعان ليها شنو
324	استهلكتها	انت واقف في المدرسه وجعان 😹💔
325	<Media omitted>	اكيد 🤝
326	شنو بتغنج برااك ي كصم	<Media omitted>
327	طيب م تعزنا معااك مالك	<Media omitted>
328	دااك كااان مدفوووع قااال🙆🏾‍♂🙆🏾‍♂🙆🏾‍♂	<Media omitted>
329	ايوا	اكيد 🌝
330	يااخ داير اعمل لي حساب باي بال	كل عااااااااام وانتم بخييير 💗كل سسسسنه وايامكم حلووووووووووه💓 كل سنـه وامااااااانيكم محقققه💓 ربنا يرفع عننا الوباء ويسعدنا ويقربناااا ليه💚
331	اها وتاااني	البخليني نكذب شنو 😒
332	وانت عندك ولا لا	اتصلت ليك لقيتك مشغول 🌚🐸
333	ايوا	دي ما الرسمتو قلت ليك صحبتي ما قريت الكلام ولا شنو
334	قداااام🤤🤤	*ما انا الرسمتو
335	لكن انا لو داير اعمل حساب باي بال بجيك في البيت	<Media omitted>
336	لالا انا البجيك في البيت🤣🤣🤣🤚	انت قاصد الصوره انا راسمها يعني 😹😹😹💔
337	اااي	<Media omitted>
338	لسع م جاادب انا😹😹💔	ما وصلت للمهاره قدر دي 🤣😂😂💔
339	دي سرعة ونحنا عندنا سرعة💔	<Media omitted>
340	اااي والله🥺💔	<Media omitted>
341	لكن نزلوو منو حلقة واحدة بس	غنج وين 😹😹💔
342	نفسي الجزء الاول بس😹😹🤚	MB🧐دي وين
343	دقيقه بس	GB 🤓
344	ايوا	<Media omitted>
345	حززززييينه ياااخ	Yes pro
346	<Media omitted>	دي ما غنجه ده حساب درويد مدفوع بس مع البرج الفي الباب وال G  ده بطلع الشغل حلاوه 🔥
347	وووووووواااااااااع😹😹😹😹	<Media omitted>
348	<Media omitted>	عزيتك ليهو زمان ما متزكر🧐
349	ووووواااااهههههيييي😹😹😹	لالا
350	اسمعني كدا جيب رقم الزبير ويكوون فااتح	المدفوع بي  دولار شهر
351	اااي اااي😹😹🤚	شوف زول برا يديك رقمو او نزل taks naw
352	عدم موووضووووع	في السودان تاني حظرو 😹💔
353	زووولي والله🤍😻🔥🤚	اشتر دولار من زول عندو محفظه لو داير 🙂
354	هوووي ي صكم غاانج بي شنو	اشتريتو 🤓
355	هووي قبيل اتصلت لي ماالك	لو السيرفرات اتصلحت ممكن ادخلك ضيف في الحسابي 🤓👍
356	احشك	كيف يعني يجيك بطاقه صراف تمشي تصرف عادي زي البطاقه البنكيه ؟
357	كدا اكتب لي اسماء ابطال مسلسل elite و ريسون	هو بنك الكتروني تعمل حجاتك كلها من الموقع بدون ما تحتاج لي بطاقه مصرفيه
358	اسماءهم الحقيقه ي بشر	اه قصدك كدا😹
359	اكتب لي اسمها بالانجليزي🤤🤤🤚	بقول ليك البيبال محظور في البلد دي😹😹
360	وتااني	هسي خش قوقل واكتب بايبال ولو جابو ليك ادخل شوف الموقع بفتح ولا ما بفتح 😹💔بدون VPN
361	😂😂😂🔪🔪🔪🔪	<Media omitted>
362	دسيس	<Media omitted>
363	ووووااااااههههيييي😂😂😂😂🤚	حقتنا دي الا نسكتو بس🌚💔
364	والله كاارلا دي ام المزز زاااتووو🤤🤤😤😤🤚	🤘🏾
365	ووووووااااااهههههيييي😂😂😂😂😆😆😆🤚	<Media omitted>
366	حلمك كبيير	<Media omitted>
367	ظااابط	<Media omitted>
368	السمبك ناار الضلع😂😂😂🤚	المواسم الجديده نزلت امس على ما اطن
369	😂😂😂😂🌚	<Media omitted>
370	هوووي اها انجزت لينا  ريسون	اقثم خساره x خساره 💔
371	لالا	<Media omitted>
372	ياااه ياااه🤤🤤🤚	Spotifiy $ +netfilx $
373	يعني كدا خلااص جبت لينا الجديد🤤🤤🤤🤚	$
374	يعني م نزلت ولا حااجه💁🏾‍♂	<Media omitted>
375	اااي عزنا احدي م ادييك الزيت انا	<Media omitted>
376	🤚	سمبك ....🚶🏾‍♂️
377	انا في تكساس	زبير.vcf (file attached)
378	+م عندي شريحه زين	<Media omitted>
379	م دسيسه😂😂🤚	حنك جكس😹✊🏾
380	<Media omitted>	ومالك عاملو 😹
381	نفهم شنو🌚🔥	<Media omitted>
382	يعني انت هسع في المانيا	<Media omitted>
383	ي كصم داير لي حساب نتفلكس🐸🤚	داير رصيد mtn  ولقيت
384	دسيس	<Media omitted>
385	اااا؟؟	Hana
386	<Media omitted>	بعرف مينا الحمياني بس دي ناديه في elite
387	<Media omitted>	المزه دي
388	<Media omitted>	<Media omitted>
389	احسن شي😂😂🤚	Mina El Hammani
390	لالا م كدا😂😂😂🤚	<Media omitted>
391	دسيس	المنقذ من الفلسه
392	الباس طلع خلط	<Media omitted>
393	اااي شغاال دسيس كدا	ادخل في صفحتها تلقا البقيه
394	كدا ي رابط الدرويد	مزتي
395	بعد كدا جيب حساب الدرويد	<Media omitted>
396	واشرح لي طريقة التشغيل	<Media omitted>
397	اها الباقي	ناديه
398	اها سيرفر كم	<Media omitted>
399	دسيس😂😂😂🔪🔪🔪	انت صنف ليها
400	خلاص ظط😂😂🤚	انا مشرك للمزه ناديه ترد لي في الاستغرام
401	هوووي الشغل ابا	<Media omitted>
402	ي بشر شريحتي شباب	لمن ترد بديك الاسكرين
403	<Media omitted>	<Media omitted>
404	<Media omitted>	<Media omitted>
405	وطيب شنو بتتشرمط لي	ما لقيت زين🙂🥇
406	ضبطوو	<Media omitted>
407	الشريحة واحتمال من التطبيق	عشان المزز دي سناجل فورايفر 🔥
408	والله اتآكدتا كم مره انا	<Media omitted>
409	م بعمل لي كدا	<Media omitted>
410	دقيقه	قاعد نشاهد الجزء التاني اونلاين
411	لالا	بجاسف البقيه
412	<Media omitted>	<Media omitted>
413	نفسي الشي بس	<Media omitted>
414	شنو	<Media omitted>
415	خلاص ربط ي😂😂😂😂🤚	قدام ي فرده
416	<Media omitted>	شبكه زين في حلتكم كيق
417	دسيس	ف
418	<Media omitted>	انا طلعت شريحتي😹😹
419	دقيقة نجرب التنزيل	قاعد نسال من التغطيه في حلتكم 😹😹
420	<Media omitted>	<Media omitted>
421	وانا من بعدك🤤🤤🤚	<Media omitted>
422	شغاال بالتطبيق اااي	<Media omitted>
423	<Media omitted>	No commend
424	<Media omitted>	جوا الجك
425	😂😂😂🤚	جوا البلد ديك
426	<Media omitted>	قداام  انتظر بس
427	الجوو ده م للناس السنااجل😂😂😂🤚	<Media omitted>
428	<Media omitted>	<Media omitted>
429	<Media omitted>	<Media omitted>
430	<Media omitted>	🔞
431	لن تناال ي بتوول😂😂😂🤚	<Media omitted>
432	حرقك😂😂💁🏾‍♂	تفكير ماشي يمين
433	قووول بقتل ليهوو سنجل🤣🤣🤣🤣🤚	<Media omitted>
434	<Media omitted>	<Media omitted>
435	اااي زووول	احسن بتاع شنو عشان قاعد تخلط
436	<Media omitted>	ولا شنو
437	<Media omitted>	<Media omitted>
438	من الاخر ادييك رقمها وبس💁🏾‍♂🤣🤣🤣🤣🤣	alktry@gmail.com
439	حراام🤣🤣🤣🤚	King
440	وانت شغاال لكن😂😂💁🏾‍♂	ما تغير الباس
441	انت الليله طاارت ليك🤣🤣🤣🤚	Alktry@gmail.com
442	موووت ي صحبي😂😂😂💁🏾‍♂	king
443	<Media omitted>	شغال بالموقع ولا منزل التطبيق
444	<Media omitted>	اكتب درويد في قوقل بلاي
445	انت اصلا ماف زوول دااايرك	<Media omitted>
446	<Media omitted>	<Media omitted>
